orden_compra,id_tiempo,mes,id_cultivo,id_proveedor,canal_reventa,hectareas_contratadas,volumen_comprado_ton,precio_compra_usd_ton,precio_reventa_usd_ton,costo_total_usd,ingreso_reventa_usd,margen_bruto_usd,merma_pct
OC-2000-00227,2000,3,2,16,Mercado de exportación,165.2,229.61,318.21,360.46,73064.2,82765.22,9701.02,4.9
OC-2000-00228,2000,9,2,28,Mayoristas locales,89.6,119.44,315.08,375.94,37633.16,44902.27,7269.11,8.8
OC-2000-00229,2000,4,2,10,Supermercados,145.9,203.28,322.59,365.11,65576.1,74219.56,8643.46,4.7
OC-2000-00230,2000,4,2,7,Industria procesadora,35.0,48.15,323.36,393.85,15569.78,18963.88,3394.1,5.9
OC-2001-00231,2001,9,2,22,Mayoristas locales,59.8,44.13,383.84,462.06,16938.86,20390.71,3451.85,3.4
OC-2001-00232,2001,2,2,1,Industria procesadora,104.3,77.28,401.72,454.46,31044.92,35120.67,4075.75,3.1
OC-2001-00233,2001,11,2,40,Mayoristas locales,142.1,103.01,421.99,478.83,43469.19,49324.28,5855.09,5.1
OC-2001-00234,2001,11,2,12,Supermercados,53.0,38.88,373.59,457.26,14525.18,17778.27,3253.09,4.1
OC-2002-00235,2002,11,2,25,Industria procesadora,126.8,177.72,298.68,354.98,53081.41,63087.05,10005.64,2.1
OC-2002-00236,2002,6,2,17,Supermercados,102.7,143.99,311.46,376.95,44847.13,54277.03,9429.9,2.1
OC-2002-00237,2002,3,2,35,Mayoristas locales,69.1,93.01,292.42,338.11,27197.98,31447.61,4249.63,6.0
OC-2002-00238,2002,10,2,28,Industria procesadora,71.0,97.92,307.72,371.16,30131.94,36343.99,6212.05,3.7
OC-2002-00239,2002,10,2,35,Mayoristas locales,83.2,113.35,292.83,334.84,33192.28,37954.11,4761.83,4.8
OC-2002-00240,2002,9,2,37,Industria procesadora,124.4,174.18,315.59,361.0,54969.47,62878.98,7909.51,2.2
OC-2003-00241,2003,7,2,24,Industria procesadora,200.8,325.91,275.97,317.73,89941.38,103551.38,13610.0,4.0
OC-2003-00242,2003,11,2,40,Supermercados,101.3,161.46,256.92,304.45,41482.3,49156.5,7674.2,5.7
OC-2003-00243,2003,6,2,31,Industria procesadora,56.6,92.99,286.34,343.35,26626.76,31928.12,5301.36,2.7
OC-2003-00244,2003,5,2,26,Industria procesadora,132.3,211.13,254.65,296.47,53764.25,62593.71,8829.46,5.5
OC-2003-00245,2003,3,2,16,Industria procesadora,61.0,95.73,267.65,318.38,25622.13,30478.52,4856.39,7.2
OC-2004-00246,2004,6,2,39,Mercado de exportación,219.7,383.84,270.6,326.32,103867.1,125254.67,21387.57,7.3
OC-2004-00247,2004,1,2,38,Mayoristas locales,150.3,259.34,247.39,280.75,64158.12,72809.7,8651.58,8.4
OC-2004-00248,2004,12,2,16,Industria procesadora,112.6,201.4,274.81,322.08,55346.73,64866.91,9520.18,5.0
OC-2004-00249,2004,3,2,9,Industria procesadora,200.4,347.5,249.68,289.69,86763.8,100667.28,13903.48,8.0
OC-2004-00250,2004,10,2,31,Supermercados,53.0,91.38,262.82,300.48,24016.49,27457.86,3441.37,8.5
OC-2004-00251,2004,3,2,27,Industria procesadora,56.3,99.36,281.11,333.76,27931.09,33162.39,5231.3,6.3
OC-2005-00252,2005,8,2,23,Supermercados,113.5,232.55,245.32,295.44,57049.17,68704.57,11655.4,3.5
OC-2005-00253,2005,10,2,35,Mercado de exportación,61.5,122.47,260.44,300.49,31896.09,36801.01,4904.92,6.3
OC-2005-00254,2005,8,2,30,Mayoristas locales,198.9,396.41,254.29,307.62,100803.1,121943.64,21140.54,6.2
OC-2005-00255,2005,10,2,21,Industria procesadora,207.9,420.95,261.58,305.15,110112.1,128452.89,18340.79,4.6
OC-2006-00256,2006,12,2,26,Mayoristas locales,152.6,260.94,270.81,313.64,70665.16,81841.22,11176.06,8.9
OC-2006-00257,2006,10,2,20,Industria procesadora,93.8,167.41,270.56,312.82,45294.45,52369.2,7074.75,4.9
OC-2006-00258,2006,6,2,31,Mercado de exportación,135.5,239.05,257.94,299.91,61660.56,71693.49,10032.93,6.0
OC-2006-00259,2006,1,2,18,Supermercados,115.6,209.97,249.94,293.37,52479.9,61598.9,9119.0,3.3
OC-2007-00260,2007,1,2,2,Mayoristas locales,86.6,190.46,257.19,305.45,48984.41,58176.01,9191.6,4.8
OC-2007-00261,2007,4,2,31,Supermercados,90.0,203.31,271.0,322.17,55097.01,65500.38,10403.37,2.2
OC-2007-00262,2007,12,2,33,Supermercados,94.0,211.97,268.48,315.74,56909.71,66927.41,10017.7,2.4
OC-2007-00263,2007,5,2,39,Mayoristas locales,68.3,149.17,262.59,297.52,39170.55,44381.06,5210.51,5.4
OC-2007-00264,2007,4,2,31,Mayoristas locales,115.3,254.02,271.78,332.6,69037.56,84487.05,15449.49,4.6
OC-2008-00265,2008,6,2,23,Industria procesadora,17.6,37.91,278.46,326.98,10556.42,12395.81,1839.39,3.8
OC-2008-00266,2008,9,2,28,Industria procesadora,139.1,299.76,250.18,298.7,74993.96,89538.31,14544.35,4.0
OC-2008-00267,2008,8,2,28,Mayoristas locales,182.1,380.6,249.77,300.59,95062.46,114404.55,19342.09,6.9
OC-2008-00268,2008,5,2,38,Mayoristas locales,47.2,100.15,273.39,333.74,27380.01,33424.06,6044.05,5.4
OC-2008-00269,2008,8,2,20,Industria procesadora,41.0,86.14,271.22,315.73,23362.89,27196.98,3834.09,6.3
OC-2008-00270,2008,8,2,37,Industria procesadora,93.8,206.21,271.49,329.7,55983.95,67987.44,12003.49,2.0
OC-2008-00271,2008,3,2,6,Industria procesadora,20.4,43.9,261.35,316.0,11473.27,13872.4,2399.13,4.2
OC-2009-00272,2009,1,2,24,Industria procesadora,163.6,340.43,267.45,304.94,91048.0,103810.72,12762.72,5.4
OC-2009-00273,2009,6,2,19,Supermercados,91.4,188.82,266.4,308.05,50301.65,58166.0,7864.35,6.1
OC-2009-00274,2009,5,2,10,Industria procesadora,176.5,363.31,261.46,299.04,94991.03,108644.22,13653.19,6.5
OC-2009-00275,2009,5,2,27,Mayoristas locales,158.1,337.4,250.27,302.71,84441.1,102134.35,17693.25,3.0
OC-2009-00276,2009,12,2,14,Industria procesadora,189.4,392.18,258.69,296.98,101453.04,116469.62,15016.58,5.9
OC-2010-00277,2010,10,2,2,Industria procesadora,214.4,445.09,247.92,285.37,110346.71,127015.33,16668.62,7.1
OC-2010-00278,2010,2,2,31,Mercado de exportación,77.0,168.37,268.68,320.83,45237.65,54018.15,8780.5,2.2
OC-2010-00279,2010,7,2,35,Mayoristas locales,205.4,420.67,280.74,340.38,118098.9,143187.65,25088.75,8.3
OC-2011-00280,2011,6,2,13,Industria procesadora,60.0,95.29,291.93,357.45,27818.01,34061.41,6243.4,4.7
OC-2011-00281,2011,2,2,23,Industria procesadora,63.1,102.72,282.26,319.86,28993.75,32856.02,3862.27,2.4
OC-2011-00282,2011,6,2,34,Mayoristas locales,164.3,256.18,269.4,309.04,69014.89,79169.87,10154.98,6.5
OC-2011-00283,2011,8,2,17,Supermercados,54.7,83.26,292.31,355.71,24337.73,29616.41,5278.68,8.8
OC-2011-00284,2011,10,2,12,Industria procesadora,183.1,293.49,285.06,325.54,83662.26,95542.73,11880.47,3.8
OC-2011-00285,2011,1,2,37,Mercado de exportación,71.5,110.9,283.14,342.26,31400.23,37956.63,6556.4,7.0
OC-2012-00286,2012,2,2,5,Mercado de exportación,153.7,410.94,246.42,297.87,101263.83,122406.7,21142.87,2.1
OC-2012-00287,2012,9,2,17,Mercado de exportación,79.2,203.49,273.61,313.28,55676.9,63749.35,8072.45,5.9
OC-2012-00288,2012,5,2,20,Supermercados,59.4,151.92,272.88,313.5,41455.93,47626.92,6170.99,6.3
OC-2012-00289,2012,5,2,7,Supermercados,118.4,301.56,265.03,321.1,79922.45,96830.92,16908.47,6.8
OC-2012-00290,2012,11,2,25,Supermercados,155.3,402.01,255.21,291.17,102596.97,117053.25,14456.28,5.2
OC-2012-00291,2012,10,2,11,Industria procesadora,218.7,555.58,251.19,303.94,139556.14,168862.99,29306.85,7.0
OC-2013-00292,2013,12,2,8,Industria procesadora,208.2,460.2,253.72,294.38,116761.94,135473.68,18711.74,6.7
OC-2013-00293,2013,7,2,21,Supermercados,46.3,100.84,267.53,313.01,26977.73,31563.93,4586.2,8.1
OC-2013-00294,2013,9,2,23,Supermercados,97.3,223.11,250.51,282.65,55891.29,63062.04,7170.75,3.2
OC-2013-00295,2013,3,2,25,Supermercados,166.4,382.53,266.36,324.83,101890.69,124257.22,22366.53,3.0
OC-2013-00296,2013,5,2,23,Supermercados,37.5,80.9,257.91,294.84,20864.92,23852.56,2987.64,8.9
OC-2013-00297,2013,7,2,23,Supermercados,127.0,294.92,277.77,319.41,81919.93,94200.4,12280.47,2.1
OC-2014-00298,2014,11,2,19,Industria procesadora,174.7,560.12,266.78,321.49,149428.81,180072.98,30644.17,6.6
OC-2014-00299,2014,2,2,8,Mayoristas locales,25.2,82.44,257.51,315.45,21229.12,26005.7,4776.58,4.6
OC-2014-00300,2014,4,2,34,Industria procesadora,181.2,589.55,277.23,312.57,163440.95,184275.64,20834.69,5.2
OC-2014-00301,2014,9,2,17,Supermercados,212.1,663.34,268.52,314.27,178120.06,208467.86,30347.8,8.9
OC-2014-00302,2014,11,2,22,Supermercados,37.5,121.61,250.02,289.43,30404.93,35197.58,4792.65,5.6
OC-2014-00303,2014,3,2,11,Supermercados,186.4,587.5,249.12,304.92,146358.0,179140.5,32782.5,8.2
OC-2015-00304,2015,10,2,4,Mayoristas locales,30.1,129.57,256.72,302.03,33263.21,39134.03,5870.82,3.5
OC-2015-00305,2015,6,2,22,Supermercados,94.7,390.08,263.68,303.24,102856.29,118287.86,15431.57,7.8
OC-2015-00306,2015,2,2,7,Mercado de exportación,187.6,818.59,248.15,285.72,203133.11,233887.53,30754.42,2.3
OC-2015-00307,2015,9,2,30,Supermercados,64.6,267.48,255.8,299.29,68421.38,80054.09,11632.71,7.2
OC-2015-00308,2015,11,2,6,Supermercados,86.3,359.99,254.19,292.16,91505.86,105174.68,13668.82,6.6
OC-2015-00309,2015,1,2,26,Mayoristas locales,144.8,591.59,255.67,306.83,151251.82,181517.56,30265.74,8.5
OC-2015-00310,2015,5,2,30,Mayoristas locales,111.5,473.96,275.98,311.36,130803.48,147572.19,16768.71,4.8
OC-2016-00311,2016,1,2,27,Supermercados,140.5,476.63,247.6,298.32,118013.59,142188.26,24174.67,4.8
OC-2016-00312,2016,5,2,7,Industria procesadora,76.3,251.25,275.56,314.3,69234.45,78967.88,9733.43,7.6
OC-2016-00313,2016,7,2,15,Industria procesadora,40.8,134.63,274.0,320.64,36888.62,43167.76,6279.14,7.5
OC-2016-00314,2016,3,2,38,Industria procesadora,202.9,692.21,249.46,303.79,172678.71,210286.48,37607.77,4.3
OC-2016-00315,2016,12,2,25,Industria procesadora,62.3,208.5,253.67,291.76,52890.2,60831.96,7941.76,6.1
OC-2016-00316,2016,12,2,22,Industria procesadora,31.1,108.19,248.7,302.7,26906.85,32749.11,5842.26,2.3
OC-2017-00317,2017,1,2,26,Mercado de exportación,214.8,787.11,256.99,304.3,202279.4,239517.57,37238.17,8.5
OC-2017-00318,2017,10,2,6,Industria procesadora,140.6,538.96,272.31,318.8,146764.2,171820.45,25056.25,4.2
OC-2017-00319,2017,10,2,5,Mayoristas locales,99.0,381.24,247.72,282.46,94440.77,107685.05,13244.28,3.8
OC-2017-00320,2017,12,2,25,Supermercados,67.9,258.31,278.24,322.63,71872.17,83338.56,11466.39,4.9
OC-2017-00321,2017,2,2,23,Mayoristas locales,217.7,850.01,249.02,304.72,211669.49,259015.05,47345.56,2.4
OC-2017-00322,2017,4,2,34,Mercado de exportación,201.5,740.56,246.11,287.06,182259.22,212585.15,30325.93,8.2
OC-2017-00323,2017,3,2,38,Industria procesadora,183.6,685.53,255.42,305.76,175098.07,209607.65,34509.58,6.7
OC-2018-00324,2018,8,2,10,Industria procesadora,64.9,224.92,258.82,312.9,58213.79,70377.47,12163.68,4.3
OC-2018-00325,2018,9,2,19,Supermercados,52.2,173.47,267.11,325.79,46335.57,56514.79,10179.22,8.4
OC-2018-00326,2018,5,2,23,Supermercados,57.4,199.77,260.22,312.48,51984.15,62424.13,10439.98,4.0
OC-2018-00327,2018,7,2,24,Mercado de exportación,209.7,691.84,263.53,310.81,182320.6,215030.79,32710.19,9.0
OC-2018-00328,2018,1,2,20,Mayoristas locales,30.7,108.19,247.16,288.82,26740.24,31247.44,4507.2,2.9
OC-2018-00329,2018,7,2,28,Mayoristas locales,25.9,90.81,274.16,326.46,24896.47,29645.83,4749.36,3.1
OC-2018-00330,2018,11,2,37,Supermercados,139.7,475.74,245.61,288.07,116846.5,137046.42,20199.92,6.0
OC-2019-00331,2019,6,2,27,Supermercados,24.3,104.17,280.58,327.51,29228.02,34116.72,4888.7,6.4
OC-2019-00332,2019,1,2,32,Mayoristas locales,37.6,165.96,245.97,288.94,40821.18,47952.48,7131.3,3.8
OC-2019-00333,2019,10,2,1,Supermercados,199.8,852.25,273.1,323.26,232749.48,275498.34,42748.86,6.9
OC-2019-00334,2019,7,2,3,Industria procesadora,206.3,914.42,279.43,319.14,255516.38,291828.0,36311.62,3.3
OC-2020-00335,2020,7,2,34,Mercado de exportación,92.3,341.51,276.67,333.51,94485.57,113897.0,19411.43,3.3
OC-2020-00336,2020,4,2,20,Industria procesadora,108.5,386.03,278.89,337.14,107659.91,130146.15,22486.24,6.9
OC-2020-00337,2020,8,2,8,Supermercados,187.8,691.2,260.66,309.21,180168.19,213725.95,33557.76,3.7
OC-2021-00338,2021,6,2,7,Mayoristas locales,209.7,934.77,270.89,309.16,253219.85,288993.49,35773.64,4.0
OC-2021-00339,2021,12,2,34,Mercado de exportación,111.8,488.36,280.13,321.07,136804.29,156797.75,19993.46,5.9
OC-2021-00340,2021,10,2,17,Supermercados,92.8,395.91,280.83,326.93,111183.41,129434.86,18251.45,8.1
OC-2021-00341,2021,7,2,17,Industria procesadora,57.4,244.3,269.98,315.79,65956.11,77147.5,11191.39,8.2
OC-2022-00342,2022,8,2,2,Mercado de exportación,39.0,168.0,274.85,313.26,46174.8,52627.68,6452.88,4.7
OC-2022-00343,2022,9,2,7,Mercado de exportación,21.7,90.43,254.65,291.11,23028.0,26325.08,3297.08,7.8
OC-2022-00344,2022,2,2,22,Mercado de exportación,145.7,604.0,259.3,294.63,156617.2,177956.52,21339.32,8.5
OC-2022-00345,2022,4,2,3,Supermercados,173.6,743.82,254.74,298.34,189480.71,221911.26,32430.55,5.4
OC-2022-00346,2022,9,2,7,Mayoristas locales,63.6,266.6,264.45,310.51,70502.37,82781.97,12279.6,7.4
OC-2022-00347,2022,7,2,27,Supermercados,19.5,85.03,256.6,293.54,21818.7,24959.71,3141.01,3.9
OC-2023-00348,2023,4,2,14,Supermercados,166.9,705.65,255.19,298.86,180074.82,210890.56,30815.74,3.9
OC-2023-00349,2023,2,2,38,Supermercados,71.2,291.9,258.63,312.8,75494.1,91306.32,15812.22,6.9
OC-2023-00350,2023,3,2,5,Supermercados,138.4,563.81,258.4,304.91,145688.5,171911.31,26222.81,7.4
OC-2023-00351,2023,3,2,1,Mayoristas locales,71.8,304.54,249.47,283.09,75973.59,86212.23,10238.64,3.6
OC-2023-00352,2023,9,2,35,Mayoristas locales,50.7,212.41,281.6,328.31,59814.66,69736.33,9921.67,4.7
OC-2023-00353,2023,6,2,8,Supermercados,105.9,434.84,256.89,294.52,111706.05,128069.08,16363.03,6.6
OC-1990-00354,1990,7,3,5,Mercado de exportación,158.1,1781.8,241.99,302.47,431177.78,538941.05,107763.27,4.8
OC-1990-00355,1990,2,3,10,Mercado de exportación,132.5,1524.56,253.95,301.76,387162.01,460051.23,72889.22,2.8
OC-1990-00356,1990,12,3,33,Mercado de exportación,38.7,434.92,243.0,302.31,105685.56,131480.67,25795.11,5.0
OC-1990-00357,1990,12,3,30,Supermercados,33.2,378.18,241.63,287.94,91379.63,108893.15,17513.52,3.8
OC-1990-00358,1990,2,3,18,Mercado de exportación,133.5,1480.78,249.11,318.99,368877.11,472354.01,103476.9,6.3
OC-1990-00359,1990,7,3,17,Supermercados,159.0,1777.36,266.89,335.79,474359.61,596819.71,122460.1,5.5
OC-1991-00360,1991,6,3,11,Mercado de exportación,149.6,1456.93,255.24,316.31,371866.81,460841.53,88974.72,2.5
OC-1991-00361,1991,9,3,23,Industria procesadora,31.6,309.45,270.4,341.24,83675.28,105596.72,21921.44,2.1
OC-1991-00362,1991,9,3,20,Mercado de exportación,155.3,1455.15,247.84,299.0,360644.38,435089.85,74445.47,6.2
OC-1991-00363,1991,5,3,1,Industria procesadora,202.5,1853.28,258.18,308.78,478479.83,572255.8,93775.97,8.3
OC-1991-00364,1991,11,3,30,Supermercados,74.2,691.85,241.54,301.3,167109.45,208454.41,41344.96,6.7
OC-1991-00365,1991,4,3,39,Industria procesadora,162.9,1545.01,247.91,294.68,383023.43,455283.55,72260.12,5.0
OC-1992-00366,1992,1,3,40,Supermercados,63.1,590.81,243.76,306.3,144015.85,180965.1,36949.25,7.8
OC-1992-00367,1992,11,3,16,Mercado de exportación,46.8,458.76,250.95,315.73,115125.82,144844.29,29718.47,3.6
OC-1992-00368,1992,6,3,30,Industria procesadora,131.4,1267.71,257.11,315.04,325940.92,399379.36,73438.44,5.0
OC-1992-00369,1992,6,3,33,Industria procesadora,212.7,2110.0,238.96,282.55,504205.6,596180.5,91974.9,2.3
OC-1992-00370,1992,5,3,5,Industria procesadora,167.5,1624.18,241.53,295.77,392288.2,480383.72,88095.52,4.5
OC-1992-00371,1992,6,3,21,Supermercados,99.5,965.75,243.62,296.03,235276.02,285890.97,50614.95,4.4
OC-1992-00372,1992,8,3,17,Mayoristas locales,114.9,1120.66,251.45,323.48,281789.96,362511.1,80721.14,4.0
OC-1993-00373,1993,2,3,23,Industria procesadora,159.4,1390.31,256.63,300.27,356795.26,417468.38,60673.12,6.3
OC-1993-00374,1993,9,3,10,Supermercados,98.3,865.74,262.8,327.8,227516.47,283789.57,56273.1,5.4
OC-1993-00375,1993,4,3,38,Supermercados,99.4,866.9,253.16,317.7,219464.4,275414.13,55949.73,6.3
OC-1994-00376,1994,4,3,15,Industria procesadora,83.3,839.01,259.0,312.68,217303.59,262341.65,45038.06,2.9
OC-1994-00377,1994,3,3,16,Mayoristas locales,67.4,671.32,260.0,321.28,174543.2,215681.69,41138.49,3.9
OC-1994-00378,1994,7,3,36,Industria procesadora,81.4,823.08,258.55,333.37,212807.33,274390.18,61582.85,2.5
OC-1995-00379,1995,12,3,32,Industria procesadora,198.1,1542.37,264.16,343.14,407432.46,529248.84,121816.38,5.7
OC-1995-00380,1995,12,3,31,Supermercados,31.6,249.91,238.4,305.12,59578.54,76252.54,16674.0,4.2
OC-1995-00381,1995,10,3,8,Supermercados,142.6,1114.66,239.62,311.09,267094.83,346759.58,79664.75,5.4
OC-1996-00382,1996,2,3,27,Industria procesadora,92.5,758.47,252.1,302.74,191210.29,229619.21,38408.92,7.8
OC-1996-00383,1996,7,3,1,Industria procesadora,211.2,1811.66,266.16,343.25,482191.43,621852.3,139660.87,3.6
OC-1996-00384,1996,12,3,33,Mercado de exportación,42.9,358.02,256.03,327.53,91663.86,117262.29,25598.43,6.2
OC-1996-00385,1996,1,3,13,Mayoristas locales,147.2,1251.48,244.33,298.69,305774.11,373804.56,68030.45,4.4
OC-1996-00386,1996,2,3,39,Supermercados,26.8,219.84,242.07,288.11,53216.67,63338.1,10121.43,7.9
OC-1996-00387,1996,2,3,22,Mercado de exportación,105.2,859.52,259.91,315.72,223397.84,271367.65,47969.81,8.2
OC-1996-00388,1996,6,3,19,Industria procesadora,123.1,1024.47,238.27,305.8,244100.47,313282.93,69182.46,6.4
OC-1997-00389,1997,10,3,10,Mayoristas locales,86.1,693.01,252.24,298.01,174804.84,206523.91,31719.07,3.9
OC-1997-00390,1997,6,3,38,Industria procesadora,186.6,1459.94,237.94,293.55,347378.12,428565.39,81187.27,6.6
OC-1997-00391,1997,6,3,4,Supermercados,82.4,655.18,271.36,352.29,177789.64,230813.36,53023.72,5.1
OC-1997-00392,1997,3,3,2,Mayoristas locales,159.1,1221.67,264.06,324.24,322594.18,396114.28,73520.1,8.3
OC-1997-00393,1997,5,3,39,Supermercados,146.6,1126.97,248.94,302.23,280547.91,340604.14,60056.23,8.2
OC-1997-00394,1997,8,3,30,Industria procesadora,81.7,659.93,252.75,320.33,166797.31,211395.38,44598.07,3.5
OC-1997-00395,1997,5,3,29,Supermercados,180.5,1393.36,248.82,316.9,346695.84,441555.78,94859.94,7.8
OC-1998-00396,1998,3,3,12,Industria procesadora,21.1,189.4,257.68,327.43,48804.59,62015.24,13210.65,3.6
OC-1998-00397,1998,11,3,14,Supermercados,191.3,1735.47,240.11,290.34,416703.7,503876.36,87172.66,2.7
OC-1998-00398,1998,4,3,15,Supermercados,74.8,657.67,270.82,326.39,178110.19,214656.91,36546.72,5.8
OC-1998-00399,1998,10,3,10,Industria procesadora,167.7,1478.64,262.2,318.47,387699.41,470902.48,83203.07,5.5
OC-1998-00400,1998,6,3,39,Supermercados,218.5,1912.58,259.53,314.31,496371.89,601143.02,104771.13,6.2
OC-1999-00401,1999,1,3,13,Industria procesadora,215.7,1877.1,252.57,313.66,474099.15,588771.19,114672.04,7.4
OC-1999-00402,1999,12,3,18,Supermercados,187.7,1610.74,261.05,311.84,420483.68,502293.16,81809.48,8.6
OC-1999-00403,1999,4,3,38,Mayoristas locales,48.2,424.92,248.73,295.98,105690.35,125767.82,20077.47,6.2
OC-1999-00404,1999,8,3,37,Mercado de exportación,36.3,323.71,254.49,322.15,82380.96,104283.18,21902.22,5.1
OC-1999-00405,1999,1,3,16,Supermercados,20.1,184.55,249.14,303.67,45978.79,56042.3,10063.51,2.2
OC-1999-00406,1999,11,3,7,Industria procesadora,59.5,533.1,248.99,323.44,132736.57,172425.86,39689.29,4.7
OC-2000-00407,2000,9,3,28,Industria procesadora,49.6,141.82,359.34,432.83,50961.6,61383.95,10422.35,6.1
OC-2000-00408,2000,10,3,1,Mercado de exportación,85.4,244.88,342.45,439.5,83859.16,107624.76,23765.6,5.8
OC-2000-00409,2000,12,3,3,Mayoristas locales,26.2,74.45,335.05,409.58,24944.47,30493.23,5548.76,6.8
OC-2001-00410,2001,1,3,4,Supermercados,28.6,237.72,240.42,281.14,57152.64,66832.6,9679.96,7.9
OC-2001-00411,2001,10,3,24,Mayoristas locales,46.8,392.55,260.67,307.6,102326.01,120748.38,18422.37,7.2
OC-2001-00412,2001,10,3,9,Mercado de exportación,193.8,1663.71,256.94,313.67,427473.65,521855.92,94382.27,5.0
OC-2001-00413,2001,3,3,13,Mercado de exportación,33.3,277.7,269.77,329.73,74915.13,91566.02,16650.89,7.7
OC-2001-00414,2001,3,3,40,Supermercados,55.2,459.0,249.18,297.59,114373.62,136593.81,22220.19,8.0
OC-2001-00415,2001,12,3,25,Supermercados,61.8,520.72,258.84,330.67,134783.16,172186.48,37403.32,6.8
OC-2001-00416,2001,12,3,40,Industria procesadora,77.7,677.31,249.57,314.16,169036.26,212783.71,43747.45,3.5
OC-2002-00417,2002,10,3,19,Mayoristas locales,41.3,223.92,246.74,303.97,55250.02,68064.96,12814.94,8.2
OC-2002-00418,2002,2,3,19,Mercado de exportación,192.5,1083.27,240.54,300.35,260569.77,325360.14,64790.37,4.7
OC-2002-00419,2002,9,3,20,Supermercados,197.5,1082.69,250.34,324.63,271040.61,351473.65,80433.04,7.2
OC-2003-00420,2003,5,3,33,Industria procesadora,139.1,747.61,257.64,305.27,192614.24,228222.9,35608.66,6.8
OC-2003-00421,2003,11,3,8,Industria procesadora,149.2,829.24,255.56,313.95,211920.57,260339.9,48419.33,3.6
OC-2003-00422,2003,2,3,26,Supermercados,166.9,939.54,248.51,291.18,233485.09,273575.26,40090.17,2.4
OC-2003-00423,2003,8,3,35,Supermercados,205.1,1108.75,266.62,329.16,295614.92,364956.15,69341.23,6.2
OC-2004-00424,2004,4,3,22,Industria procesadora,68.3,374.56,241.39,310.9,90415.04,116450.7,26035.66,6.0
OC-2004-00425,2004,4,3,17,Supermercados,89.3,496.02,237.59,283.4,117849.39,140572.07,22722.68,4.8
OC-2004-00426,2004,7,3,32,Mayoristas locales,153.4,830.3,256.36,313.63,212855.71,260406.99,47551.28,7.2
OC-2004-00427,2004,6,3,4,Mayoristas locales,41.2,222.04,247.81,317.64,55023.73,70528.79,15505.06,7.6
OC-2004-00428,2004,12,3,21,Industria procesadora,191.6,1070.68,240.44,311.32,257434.3,333324.1,75889.8,4.3
OC-2005-00429,2005,5,3,38,Supermercados,173.8,979.09,263.65,342.57,258137.08,335406.86,77269.78,7.4
OC-2005-00430,2005,9,3,14,Mayoristas locales,50.8,293.48,237.67,296.72,69751.39,87081.39,17330.0,5.1
OC-2005-00431,2005,3,3,9,Industria procesadora,101.4,567.42,256.8,312.88,145713.46,177534.37,31820.91,8.0
OC-2005-00432,2005,12,3,10,Mercado de exportación,206.8,1159.5,256.71,324.56,297655.24,376327.32,78672.08,7.8
OC-2005-00433,2005,2,3,5,Industria procesadora,69.3,401.57,270.9,332.08,108785.31,133353.37,24568.06,4.8
OC-2005-00434,2005,1,3,2,Industria procesadora,15.3,85.03,251.86,309.25,21415.66,26295.53,4879.87,8.7
OC-2006-00435,2006,1,3,7,Mayoristas locales,129.5,666.51,246.17,304.77,164074.77,203132.25,39057.48,8.3
OC-2006-00436,2006,6,3,13,Supermercados,46.7,245.55,268.4,334.48,65905.62,82131.56,16225.94,6.2
OC-2006-00437,2006,4,3,11,Mayoristas locales,121.1,647.15,249.33,293.85,161353.91,190165.03,28811.12,4.7
OC-2006-00438,2006,5,3,18,Industria procesadora,186.9,1003.38,267.53,327.62,268434.25,328727.36,60293.11,4.3
OC-2006-00439,2006,4,3,1,Supermercados,77.3,400.68,257.66,334.05,103239.21,133847.15,30607.94,7.7
OC-2006-00440,2006,8,3,38,Supermercados,131.9,673.93,268.16,323.78,180721.07,218205.06,37483.99,8.9
OC-2007-00441,2007,5,3,28,Industria procesadora,23.1,118.06,255.51,305.91,30165.51,36115.73,5950.22,8.9
OC-2007-00442,2007,4,3,13,Industria procesadora,160.7,864.56,265.69,326.82,229704.95,282555.5,52850.55,3.9
OC-2007-00443,2007,7,3,16,Supermercados,30.9,164.94,257.6,324.7,42488.54,53556.02,11067.48,4.7
OC-2007-00444,2007,6,3,12,Mayoristas locales,172.1,904.43,252.78,316.55,228621.82,286297.32,57675.5,6.1
OC-2008-00445,2008,3,3,8,Industria procesadora,159.7,706.74,291.86,379.29,206269.14,268059.41,61790.27,2.9
OC-2008-00446,2008,9,3,8,Industria procesadora,218.2,948.08,281.71,347.59,267083.62,329543.13,62459.51,4.6
OC-2008-00447,2008,10,3,20,Supermercados,133.5,588.27,287.5,360.35,169127.62,211983.09,42855.47,3.3
OC-2009-00448,2009,12,3,9,Supermercados,103.4,489.49,285.3,356.75,139651.5,174625.56,34974.06,4.6
OC-2009-00449,2009,4,3,37,Mayoristas locales,132.2,634.91,254.18,306.68,161381.42,194714.2,33332.78,3.2
OC-2009-00450,2009,3,3,11,Mercado de exportación,150.9,691.29,287.13,365.33,198490.1,252548.98,54058.88,7.7
OC-2009-00451,2009,8,3,26,Industria procesadora,209.4,994.98,274.37,328.46,272992.66,326811.13,53818.47,4.2
OC-2010-00452,2010,10,3,37,Industria procesadora,141.2,634.87,269.49,345.58,171091.12,219398.37,48307.25,7.0
OC-2010-00453,2010,4,3,8,Mercado de exportación,43.8,197.18,293.43,363.19,57858.53,71613.8,13755.27,6.9
OC-2010-00454,2010,4,3,20,Industria procesadora,51.9,233.76,265.76,337.64,62124.06,78926.73,16802.67,6.9
